mlp_ratio,sum_mlp_ratio,num_heads,one_layer_heads,sum_num_heads,embed_dim,sum_embed,one_layer_embed,layer_num,dss score,retrain accuracy50,resultfilename,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 8 32 16 32 32,120, 6 3 6 4 4,6,23, 128 128 128 128 128,640,128,5,368.9361572,51.11,11477291,82,11496397,-0.446941376,62.65494919,15:55
 16 32 32 8 16,104, 3 6 4 6 3,3,22, 128 128 128 128 128,640,128,5,367.9452209,45.85,11477335,79.61,11496441,-0.416593939,59.58119202,14:56
 32 8 16 32 8 32 16,144, 6 3 3 6 4 6 6,6,34, 128 128 128 128 128 128 128,896,128,7,363.6126709,47.35,11477437,82.59,11496543,-3.598969698,155.266861,18:28
 16 32 16 16,80, 3 6 4 4,3,17, 128 128 128 128,512,128,4,362.7019958,43.37,11477207,77.75,11496313,-0.423633665,50.69414902,13:32
 32 8 32 32,104, 6 3 3 3,6,15, 128 128 128 128,512,128,4,362.5187683,47.59,11477460,78.83,11496566,-0.428740889,58.14858246,13:54
 8 16 8 16,48, 4 6 6 4,4,20, 128 128 128 128,512,128,4,361.0839233,48.75,11477373,75.86,11496479,-0.397218645,40.78261185,14:46
 32 32 8 32 16 16 8,144, 4 4 4 3 3 4 3,4,25, 128 128 128 128 128 128 128,896,128,7,358.8221741,49.44,11477292,82.05,11496398,-2.599682093,116.1266479,19:27
 32 32 16 32 32 32,176, 4 4 3 3 4 3,4,21, 128 128 128 128 128 128,768,128,6,358.1896667,54.71,11477318,83.48,11496424,-0.350479186,78.35005188,18:29
 16 32 32 32 32 8,152, 4 4 6 3 4 3,4,24, 128 128 128 128 128 128,768,128,6,357.4628296,57.26,11477151,81.5,11496257,-0.387087524,72.55182648,16:15
 16 16 16 16 8 32,104, 3 6 6 4 6 6,3,31, 128 128 128 128 128 128,768,128,6,356.4194641,49.99,11477289,81.83,11496395,-0.399975538,64.82249451,18:05
 8 16 16 32 32 16 32,152, 4 6 4 4 3 3 4,4,28, 128 128 128 128 128 128 128,896,128,7,355.6879578,40.8,11477184,81.76,11496290,-4.007665634,163.2467957,16:38
 8 16 16 8,48, 6 4 3 3,6,16, 128 128 128 128,512,128,4,355.3695374,40.25,11477499,76.15,11496605,-0.434579313,41.20858002,15:09
 16 8 8 32 16 8,88, 4 6 3 6 4 4,4,27, 128 128 128 128 128 128,768,128,6,353.3907776,48.68,11477434,79.38,11496540,-0.431476295,57.02257538,15:41
 8 16 32 8 32,96, 4 6 3 4 3,4,20, 128 128 128 128 128,640,128,5,352.4292297,42.7,11477135,80.55,11496241,-0.390913785,56.40942764,12:48
 16 32 8 8 8 32,104, 4 4 6 6 4 3,4,27, 128 128 128 128 128 128,768,128,6,351.9916687,53.64,11477446,82.11,11496552,-0.302407891,59.62013245,18:40
 8 8 16 32 32 16 16,128, 4 6 6 6 3 4 3,4,32, 128 128 128 128 128 128 128,896,128,7,351.9136963,50.22,11477092,83.26,11496198,-2.972953558,140.1238251,14:13
 8 32 8 32,80, 6 3 4 3,6,16, 128 128 128 128,512,128,4,351.3623047,49.59,11477069,77.53,11496175,-0.385773599,48.20821762,10:04
 8 16 8 8,40, 6 4 3 3,6,16, 128 128 128 128,512,128,4,351.3383789,48.44,11477137,76.38,11496243,-0.435311705,37.22568893,12:59
