mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename,grasp score,snip score,training time,OA, AA, Kappa,Params,FLOPS
8 16 8 16 16 16 8,88,3 4 4 4 6 4 6,31,64 64 64 64 64 64 64,448,7,69.39785004,78.95,config_11728614,-0.848531961,41.24711609,18:02,0.7896,0.8469,0.7618,1448976,7609352192
8 16 32 32,88,6 3 3 3,15,128 128 128 128,512,4,334.2849121,77.99,config_11728615,-0.427555948,55.25226212,13:20,0.78,0.8349,0.749,3209744,7048200192
16 32 8 16,72,4 6 3 4,17,196 196 196 196,784,4,897.9083862,79.09,config_11728616,-1.307262182,105.5881042,14:23,0.7909,0.8557,0.7627,5523792,9710688256
8 16 8 16 32,80,6 3 6 4 3,22,196 196 196 196 196,980,5,842.5333862,80.74,config_11728617,-1.045496225,111.2990799,14:35,0.8074,0.8599,0.7803,6443400,11684894720
32 32 32 16 32,144,6 3 6 4 3,22,64 64 64 64 64,320,5,108.6830826,76.69,config_11728618,-0.137366384,20.87831688,26:08:00,0.7668,0.8371,0.7376,1711632,6116179968
32 16 32 32 8 8 8,136,3 3 3 4 6 6 3,28,32 32 32 32 32 32 32,224,7,15.8898468,66.61,config_11728619,-0.10521625,11.55220699,11:53,0.6661,0.7723,0.6263,648144,6539362304
32 32 16 32 16 16 32,176,3 3 4 6 4 6 4,30,196 196 196 196 196 196 196,1372,7,661.4793091,84.32,config_11728620,-7.587432861,350.1719666,14:31,0.8432,0.9067,0.8216,10646904,18048178176
32 16 16 8 8 8 8,96,3 4 4 6 6 3 4,30,32 32 32 32 32 32 32,224,7,17.6908226,62.28,config_11728621,-0.202489644,12.18853951,20:09,0.6227,0.75,0.5784,564944,6455476224
16 8 8 16,48,6 6 4 6,22,64 64 64 64,256,4,107.9531479,74.21,config_11728622,-0.034442224,11.55498219,22:50,0.7421,0.788,0.7067,819216,4329406464
32 8 32 32,104,4 4 4 6,18,32 32 32 32,128,4,19.44195557,54.46,config_11728623,-0.019179275,4.935553551,16:40,0.5446,0.6955,0.4935,430096,3792093184
32 32 16 8,88,3 4 6 4,17,128 128 128 128,512,4,339.9979248,77.97,config_11728624,-0.359154463,48.2057991,19:17,0.7794,0.8354,0.7495,3209744,7048200192
32 8 8 32,80,3 6 6 4,19,64 64 64 64,256,4,93.61940002,69.77,config_11728625,-0.055615164,14.01383972,27:54:00,0.6977,0.8016,0.6609,1083408,4597841920
16 8 32 16 16 8 16,112,4 6 6 4 3 6 4,33,32 32 32 32 32 32 32,224,7,22.16757965,60.1,config_11728626,-0.266456425,13.56315422,20:43,0.6008,0.7364,0.5551,598224,6489030656
8 16 32 32,88,6 4 3 6,19,196 196 196 196,784,4,884.9908447,79.59,config_11728627,-1.028401494,111.8289871,17:34,0.7959,0.8446,0.7679,5523792,9710688256
16 16 32 8 8 16 32,128,6 3 3 3 3 6 4,28,64 64 64 64 64 64 64,448,7,90.96900177,79.8,config_11728628,-1.143801808,59.06521606,13:42,0.798,0.8785,0.7718,1779216,7944896512
32 16 16 16,80,3 4 4 4,15,64 64 64 64,256,4,81.28614807,73.88,config_11728629,-0.057057053,13.50836945,14:01,0.7388,0.786,0.7031,1083408,4597841920
16 32 32 8,88,3 4 3 6,16,128 128 128 128,512,4,308.8423462,76.96,config_11728630,-0.429660052,51.99263382,19:16,0.7697,0.8291,0.7386,3209744,7048200192
8 16 8 32 32 16,112,3 4 6 3 6 3,25,64 64 64 64 64 64,384,6,72.10263062,78.46,config_11728631,-0.062062874,19.00577545,16:20,0.7845,0.8588,0.7567,1547280,6829211648
8 32 8 16 8 32 32,136,3 3 6 6 3 4 3,28,196 196 196 196 196 196 196,1372,7,612.5777588,84.06,config_11728632,-6.767473221,304.4157715,24:06:00,0.8406,0.9034,0.8189,8873688,16237025280
8 16 32 16 32 8,112,3 4 4 3 4 6,24,32 32 32 32 32 32,192,6,15.76581955,61.71,config_11728633,-0.041488171,5.655916691,19:18,0.6171,0.7478,0.575,547728,5595643904
32 16 16 32,96,4 3 3 6,16,32 32 32 32,128,4,17.73460007,52.1,config_11728634,-0.008619525,4.460047722,20:21,0.5209,0.6439,0.4641,413456,3775315968
8 8 32 16 8 32,104,6 4 4 3 4 6,27,196 196 196 196 196 196,1176,6,841.8156128,83.63,config_11728635,-0.678821683,130.8279419,18:19,0.8363,0.8984,0.8134,7363008,13659101184
8 32 16 16,72,3 4 3 6,16,196 196 196 196,784,4,652.751709,79.53,config_11728636,-0.930930912,109.1495285,11:57,0.7953,0.8595,0.7679,5523792,9710688256
8 8 8 32 16 8,80,6 4 4 6 6 4,30,32 32 32 32 32 32,192,6,21.6872921,58.6,config_11728637,-0.024725458,4.842161655,19:41,0.5859,0.7103,0.5392,481168,5528535040
32 32 8 16 32,120,3 4 4 4 6,21,64 64 64 64 64,320,5,86.42494202,74.7,config_11728638,-0.072859332,17.54277992,14:04,0.7471,0.8227,0.7149,1513488,5914853376
16 32 16 16 32 8,120,4 4 3 6 3 3,23,196 196 196 196 196 196,1176,6,786.5244751,83.03,config_11728639,-1.057807922,141.8392639,12:06,0.8303,0.8892,0.8064,8545152,14866536448
8 8 8 16 8 8 8,64,4 3 4 6 4 3 6,30,64 64 64 64 64 64 64,448,7,68.06777191,75.15,config_11728640,-0.660389483,36.83072662,15:21,0.7515,0.8292,0.7199,1250832,7408025600
16 16 16 16 16 32 8,120,3 6 6 4 3 3 3,28,64 64 64 64 64 64 64,448,7,89.18201447,77.65,config_11728641,-0.39789784,35.49682236,18:31,0.7765,0.8522,0.7479,1713168,7877787648
8 8 32 16 32 8,104,3 3 6 4 6 3,25,64 64 64 64 64 64,384,6,64.11327362,77.74,config_11728642,-0.10678225,18.42411804,19:43,0.7775,0.847,0.7489,1481232,6762102784
32 32 8 32 8,112,6 4 6 6 3,25,196 196 196 196 196,980,5,977.8408203,79.58,config_11728643,-1.13149786,112.1453934,15:52,0.7958,0.8694,0.7676,6443400,11684894720
8 16 8 16 32,80,4 3 4 6 6,23,196 196 196 196 196,980,5,660.480835,80.45,config_11728644,-1.015513897,109.9447632,16:46,0.8045,0.8554,0.7769,6443400,11684894720
8 8 32 8,56,3 3 6 3,15,196 196 196 196,784,4,562.048584,79.22,config_11728645,-0.744756341,86.1084671,23:02,0.7923,0.8706,0.7648,4341648,8503252992
32 16 16 16 32 16 16,144,6 3 3 6 3 6 3,30,32 32 32 32 32 32 32,224,7,22.19054604,65.07,config_11728646,-0.176299721,13.5104351,12:51,0.6505,0.7751,0.6102,664784,6556139520
32 8 32 16,88,3 4 6 6,19,64 64 64 64,256,4,83.16326904,71.27,config_11728647,-0.107369959,15.07012081,15:37,0.713,0.8002,0.6764,1149456,4664950784
8 32 8 16 32 16,112,4 4 6 6 6 4,30,64 64 64 64 64 64,384,6,86.55656433,79.2,config_11728648,-0.074937373,19.81306458,13:35,0.792,0.8527,0.7646,1547280,6829211648
16 32 8 32,88,4 4 4 4,16,196 196 196 196,784,4,780.8427734,79.52,config_11728649,-1.304337382,105.3015137,14:51,0.7952,0.8539,0.7658,5523792,9710688256
16 16 32 16 16,96,6 6 4 4 6,26,196 196 196 196 196,980,5,1092.850464,81.16,config_11728650,-0.938026428,128.8773499,13:25,0.8115,0.8819,0.7865,7625544,12892329984
32 32 8 8 16 8,104,4 6 3 6 3 6,28,196 196 196 196 196 196,1176,6,903.1135254,82.5,config_11728651,-1.066069245,122.5846405,21:20,0.8251,0.8773,0.8001,7363008,13659101184
16 16 16 16 32 32,128,3 6 3 4 4 6,26,32 32 32 32 32 32,192,6,19.43764305,61.28,config_11728652,-0.061324783,7.525504589,15:59,0.6124,0.7416,0.5707,581008,5629198336
8 32 8 16,64,3 3 3 6,15,64 64 64 64,256,4,66.94707489,72.96,config_11728653,-0.021774404,11.98446751,18:32,0.7298,0.7865,0.6944,951312,4463624192
32 16 8 32 32 8,128,3 6 3 4 3 4,23,196 196 196 196 196 196,1176,6,828.5266113,82.72,config_11728654,-1.077279329,128.4138489,15:38,0.8272,0.8913,0.8035,7954080,14262818816
