mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
8 8 8 32 8 32 8 ,104,6 6 6 6 6 4 6 ,40,196 196 196 196 196 196 196 ,1372,7,1055.484009,,,-2.009344578,218.4524384,
32 16 32 32 32 8 ,152,4 4 3 6 6 3 ,26,64 64 64 64 64 64 ,384,6,107.1358719,,,-0.424048007,27.54881859,
8 32 32 8 8 8 8 ,104,4 4 3 6 4 6 4 ,31,196 196 196 196 196 196 196 ,1372,7,803.2944946,,,-2.897834778,237.1487732,
32 32 32 32 16 32 ,176,3 6 3 4 4 6 ,26,32 32 32 32 32 32 ,192,6,29.13055229,,,-0.140258983,8.016997337,
8 16 8 8 16 ,56,4 3 6 6 4 ,23,64 64 64 64 64 ,320,5,89.40085602,,,-0.313810825,14.8544426,
32 16 16 32 ,96,6 3 4 3 ,16,64 64 64 64 ,256,4,116.0062866,,,-0.237102315,18.53934097,
32 32 16 32 32 32 ,176,4 4 3 3 4 3 ,21,128 128 128 128 128 128 ,768,6,397.6525269,,,-0.458131909,76.47725677,
32 8 32 16 16 ,104,3 6 3 6 4 ,22,128 128 128 128 128 ,640,5,386.3284607,,,-0.881088734,58.35498047,
8 8 8 16 32 ,72,4 3 3 4 4 ,18,32 32 32 32 32 ,160,5,21.90113068,,,-0.062397882,3.545825481,
32 8 8 16 8 32 ,104,3 3 6 6 6 3 ,27,196 196 196 196 196 196 ,1176,6,679.2063599,,,-1.285666347,111.2845078,
32 32 16 32 32 16 ,160,3 3 6 3 6 6 ,27,64 64 64 64 64 64 ,384,6,99.38628387,,,-0.180942923,27.59972572,
32 32 8 8 8 8 32 ,128,6 6 3 6 3 6 6 ,36,64 64 64 64 64 64 64 ,448,7,144.3666687,,,-1.219193935,67.6550827,
8 16 8 16 ,48,6 4 6 4 ,20,196 196 196 196 ,784,4,982.0682983,,,-0.999941826,89.21852875,
32 8 8 16 ,64,3 4 4 4 ,15,196 196 196 196 ,784,4,721.2161255,,,-1.390848875,84.71585083,
8 16 32 8 8 8 32 ,112,6 3 3 6 3 4 4 ,29,32 32 32 32 32 32 32 ,224,7,27.26869011,,,-2.131684065,19.85218048,
16 32 32 32 8 32 ,152,4 6 6 6 6 4 ,32,64 64 64 64 64 64 ,384,6,126.062851,,,-0.638957202,26.1163559,
8 16 32 32 16 8 ,112,6 4 4 3 4 3 ,24,196 196 196 196 196 196 ,1176,6,965.0430908,,,-0.703016758,117.8984756,
16 32 16 8 ,72,6 4 6 6 ,22,196 196 196 196 ,784,4,1066.337769,,,-0.492984056,93.73778534,
32 32 32 32 8 8 8 ,152,4 3 4 6 4 3 4 ,28,196 196 196 196 196 196 196 ,1372,7,806.65625,,,-4.359347343,248.0206909,
32 16 8 32 16 16 ,120,3 6 3 3 4 4 ,23,32 32 32 32 32 32 ,192,6,27.50813293,,,-0.148592025,6.080027103,
16 16 16 32 ,80,6 3 4 4 ,17,64 64 64 64 ,256,4,108.0182648,,,-0.594919562,16.95601845,
8 16 32 16 ,72,4 3 6 4 ,17,196 196 196 196 ,784,4,754.4016724,,,-0.812757254,96.53861237,
16 16 32 8 8 32 16 ,128,3 3 3 6 6 4 6 ,31,196 196 196 196 196 196 196 ,1372,7,706.8312988,,,-5.509655952,289.1362,
16 32 32 8 16 ,104,3 6 4 6 3 ,22,128 128 128 128 128 ,640,5,406.2315979,,,-0.338697672,56.01651382,
32 8 32 32 32 16 ,152,3 3 3 3 4 4 ,20,196 196 196 196 196 196 ,1176,6,639.7478638,,,-1.36275804,126.8026276,
8 16 32 32 16 ,104,4 6 3 4 4 ,21,32 32 32 32 32 ,160,5,27.85421562,,,-0.162783831,4.984258652,
8 8 16 32 ,64,3 4 6 3 ,16,128 128 128 128 ,512,4,298.3341064,,,-0.349253923,43.38861847,
8 32 32 16 ,88,6 3 3 3 ,15,64 64 64 64 ,256,4,108.7351913,,,-0.727879643,20.58420753,
8 8 16 16 32 8 16 ,104,6 6 3 6 4 3 3 ,31,32 32 32 32 32 32 32 ,224,7,31.43667984,,,-0.585557938,14.74532413,
8 32 16 8 16 32 ,112,4 3 4 6 6 6 ,29,128 128 128 128 128 128 ,768,6,327.4282837,,,-0.407580137,65.99269104,
16 32 8 32 16 ,104,6 3 4 4 6 ,23,128 128 128 128 128 ,640,5,403.8665771,,,-0.527248502,51.71038055,
32 32 16 32 32 16 16 ,176,4 3 3 3 4 4 6 ,27,32 32 32 32 32 32 32 ,224,7,25.91851425,,,-0.465084076,19.22109413,
16 32 32 16 32 8 ,136,3 3 4 6 6 3 ,25,64 64 64 64 64 64 ,384,6,90.46144867,,,-0.701000392,27.17927742,
32 32 16 32 8 8 16 ,144,4 4 4 4 3 3 6 ,28,64 64 64 64 64 64 64 ,448,7,111.51371,,,-1.871547222,58.31035995,
16 8 32 8 ,64,6 6 6 6 ,24,196 196 196 196 ,784,4,1125.833618,,,-0.466669798,89.31958771,
8 8 16 8 32 16 ,88,6 6 4 6 3 3 ,28,128 128 128 128 128 128 ,768,6,439.2727051,,,-0.241787791,56.03586578,
16 32 32 32 16 8 8 ,144,3 4 4 6 4 4 6 ,31,64 64 64 64 64 64 64 ,448,7,96.72325134,,,-4.544826031,64.43480682,
16 16 32 8 32 16 ,120,6 4 6 4 3 4 ,27,196 196 196 196 196 196 ,1176,6,1063.112793,,,-0.555050254,119.5252228,
32 32 32 32 16 16 32 ,192,4 4 4 6 6 3 4 ,31,32 32 32 32 32 32 32 ,224,7,28.3765564,,,-0.497633606,19.20179939,
16 16 16 8 32 8 16 ,112,3 4 3 6 4 3 3 ,26,196 196 196 196 196 196 196 ,1372,7,785.4396362,,,-4.945280075,271.0428162,
8 8 32 8 ,56,3 6 3 3 ,15,196 196 196 196 ,784,4,775.2341919,,,-0.667530775,85.3221283,
8 16 16 16 16 32 8 ,112,3 4 3 3 6 3 4 ,26,128 128 128 128 128 128 128 ,896,7,299.7697754,,,-2.790948868,111.9153824,
16 16 8 32 16 16 ,104,4 3 3 6 6 4 ,26,64 64 64 64 64 64 ,384,6,90.13850403,,,-0.359729022,19.71429253,
32 16 32 8 16 8 16 ,128,3 3 3 4 3 4 4 ,24,32 32 32 32 32 32 32 ,224,7,22.92276382,,,-0.925488055,18.60563469,
8 32 8 8 ,56,6 3 4 6 ,19,32 32 32 32 ,128,4,28.27099419,,,-0.027694009,3.326490641,
8 32 32 8 8 ,88,3 6 3 6 6 ,24,32 32 32 32 32 ,160,5,26.9395237,,,-0.091564789,4.824523449,
8 16 16 8 8 ,56,4 6 4 6 6 ,26,64 64 64 64 64 ,320,5,111.0136185,,,-0.771566093,17.24394226,
8 16 32 16 ,72,6 3 3 6 ,18,32 32 32 32 ,128,4,27.20593643,,,-0.066201508,4.466114521,
8 32 16 16 32 ,104,4 6 6 6 6 ,28,196 196 196 196 196 ,980,5,976.5256348,,,-1.409953237,105.5228882,
8 32 32 8 8 32 ,120,4 4 6 4 4 6 ,28,128 128 128 128 128 128 ,768,6,372.2348328,,,-1.132431984,68.1242981,
8 8 8 16 ,40,6 6 6 3 ,21,64 64 64 64 ,256,4,125.0936584,,,-0.429239005,12.95004559,
8 16 32 16 32 ,104,3 4 4 3 3 ,17,64 64 64 64 64 ,320,5,85.05421448,,,-1.411525488,23.69036293,
32 16 8 32 8 32 ,128,4 3 6 4 4 3 ,24,32 32 32 32 32 32 ,192,6,25.77483749,,,-0.130584091,6.853290081,
16 16 8 16 16 ,72,6 4 3 6 4 ,23,64 64 64 64 64 ,320,5,112.857254,,,-0.34061712,15.05012131,
8 16 32 16 8 16 8 ,104,6 4 6 3 4 6 4 ,33,32 32 32 32 32 32 32 ,224,7,29.59587288,,,-0.80007267,14.25370884,
8 32 32 8 16 16 ,112,6 6 3 3 4 3 ,25,32 32 32 32 32 32 ,192,6,33.16194916,,,-0.100332156,6.511515141,
16 32 32 8 16 8 8 ,120,6 3 4 3 4 3 6 ,29,64 64 64 64 64 64 64 ,448,7,114.6773071,,,-2.691447258,68.03442383,
32 32 8 16 ,88,6 6 4 6 ,22,128 128 128 128 ,512,4,513.0644531,,,-0.594888508,43.59191895,
16 8 8 16 16 8 ,72,4 3 6 6 6 6 ,31,196 196 196 196 196 196 ,1176,6,763.7172852,,,-1.175513029,112.0871048,
32 8 32 32 ,104,4 4 4 3 ,15,64 64 64 64 ,256,4,102.672905,,,-0.678003073,23.03141975,
16 16 32 32 32 32 8 ,168,4 3 6 3 6 3 4 ,29,64 64 64 64 64 64 64 ,448,7,95.93692017,,,-1.274450898,52.91554642,
8 16 8 16 ,48,4 6 6 4 ,20,128 128 128 128 ,512,4,395.6845703,,,-0.567339718,36.93948746,
16 16 8 16 32 16 16 ,120,4 6 4 4 6 6 3 ,33,196 196 196 196 196 196 196 ,1372,7,996.3917236,,,-4.182587624,249.1770325,
16 16 32 32 16 ,112,6 3 3 4 6 ,22,32 32 32 32 32 ,160,5,27.92219543,,,-0.150395393,5.578252792,
32 8 8 16 32 16 ,112,6 4 6 4 6 4 ,30,196 196 196 196 196 196 ,1176,6,995.9259644,,,-0.637183905,112.3951416,
32 8 32 16 8 ,96,4 4 3 3 3 ,17,64 64 64 64 64 ,320,5,101.1088486,,,-0.714713633,23.0547924,
32 8 16 16 16 32 8 ,128,4 4 4 4 6 6 6 ,34,64 64 64 64 64 64 64 ,448,7,101.6777954,,,-1.977440596,58.00639725,
16 32 16 16 ,80,6 6 6 3 ,21,128 128 128 128 ,512,4,505.9376526,,,-0.585071445,52.15188599,
32 8 8 8 16 ,72,3 3 3 4 4 ,17,32 32 32 32 32 ,160,5,21.9416275,,,-0.094745949,3.676748276,
8 32 16 32 ,88,3 6 4 3 ,16,128 128 128 128 ,512,4,376.5406799,,,-0.548711121,51.53197479,
8 16 16 8 16 8 ,72,3 6 6 3 4 6 ,28,128 128 128 128 128 128 ,768,6,367.8669434,,,-0.319124818,55.13035202,
8 8 32 16 16 16 ,96,6 3 3 4 4 4 ,24,196 196 196 196 196 196 ,1176,6,809.3914185,,,-0.695581675,118.6145096,
16 8 16 8 16 32 8 ,104,4 3 3 4 4 4 4 ,26,196 196 196 196 196 196 196 ,1372,7,723.1488037,,,-1.29003191,230.4335327,
8 8 16 8 32 16 ,88,3 4 3 3 6 6 ,25,196 196 196 196 196 196 ,1176,6,653.262207,,,-1.021465063,117.189476,
8 8 32 16 8 16 ,88,4 6 6 3 3 4 ,26,128 128 128 128 128 128 ,768,6,389.1807556,,,-0.640585959,56.62680435,
16 16 8 8 32 32 ,112,4 6 3 3 6 3 ,25,196 196 196 196 196 196 ,1176,6,975.6123047,,,-0.707679391,115.4552612,
8 32 32 16 32 ,120,3 3 4 6 3 ,19,196 196 196 196 196 ,980,5,654.7296143,,,-1.380316257,106.8576508,
16 32 8 32 8 8 8 ,112,3 6 3 4 6 3 4 ,29,32 32 32 32 32 32 32 ,224,7,27.21757126,,,-0.625163198,12.92179012,
8 32 16 16 ,72,3 6 4 6 ,19,128 128 128 128 ,512,4,379.3031616,,,-0.481838584,49.00247955,
32 8 32 16 16 8 ,112,3 6 3 3 6 6 ,27,128 128 128 128 128 128 ,768,6,383.6414795,,,-0.727411091,63.21357727,
32 8 16 32 16 16 16 ,136,3 3 4 3 4 3 3 ,23,32 32 32 32 32 32 32 ,224,7,22.37473297,,,-0.384730846,13.88583374,
16 16 8 16 8 ,64,3 4 3 3 3 ,16,128 128 128 128 128 ,640,5,315.862854,,,-0.316902757,39.18267059,
16 32 32 16 32 32 16 ,176,4 3 6 6 6 3 4 ,32,64 64 64 64 64 64 64 ,448,7,102.403038,,,-1.286282897,61.58537292,
16 16 8 8 ,48,3 4 6 6 ,19,196 196 196 196 ,784,4,811.8256836,,,-0.956266284,85.84220123,
16 32 16 8 16 16 8 ,112,6 6 6 3 6 4 3 ,34,32 32 32 32 32 32 32 ,224,7,34.6615181,,,-0.499648929,13.89998245,
32 8 8 8 ,56,3 4 4 6 ,17,64 64 64 64 ,256,4,91.65102386,,,-0.060841605,14.9459362,
32 8 8 32 ,80,3 4 4 6 ,17,128 128 128 128 ,512,4,330.3716431,,,-0.453711867,41.90227127,
8 16 32 8 32 32 8 ,136,6 3 4 6 3 4 3 ,29,64 64 64 64 64 64 64 ,448,7,105.9233627,,,-0.845207214,48.60864258,
32 32 8 16 ,88,4 4 4 4 ,16,196 196 196 196 ,784,4,866.0305176,,,-1.467866659,92.04012299,
16 16 32 16 16 32 16 ,144,4 6 4 4 4 6 3 ,31,64 64 64 64 64 64 64 ,448,7,116.4123154,,,-2.085538149,53.43393326,
16 16 16 32 32 32 8 ,152,3 4 3 3 6 3 3 ,25,128 128 128 128 128 128 128 ,896,7,323.499115,,,-2.792260885,112.1643982,
32 8 32 16 8 ,96,4 3 4 3 3 ,17,32 32 32 32 32 ,160,5,24.65119934,,,-0.079384565,5.077182293,
32 32 8 32 ,104,6 3 6 3 ,18,64 64 64 64 ,256,4,123.859993,,,-0.19712311,17.78878593,
32 16 16 8 8 ,80,4 4 3 4 6 ,21,64 64 64 64 64 ,320,5,104.0094299,,,-0.232788295,18.73299599,
32 32 16 32 16 ,128,3 3 4 3 6 ,19,64 64 64 64 64 ,320,5,96.16176605,,,-0.230841577,21.93134308,
8 32 16 16 32 ,104,4 3 4 6 4 ,21,32 32 32 32 32 ,160,5,24.21014404,,,-0.074766457,4.483519077,
16 8 8 8 ,40,4 4 3 4 ,15,196 196 196 196 ,784,4,787.0488892,,,-0.91771102,77.70721436,
16 8 16 32 ,72,4 4 3 4 ,15,32 32 32 32 ,128,4,24.18759727,,,-0.092961982,3.955780506,
16 8 8 32 16 16 ,96,3 6 6 3 3 6 ,27,128 128 128 128 128 128 ,768,6,372.4913635,,,-0.250631988,52.93513489,
32 8 16 16 16 16 8 ,112,4 3 4 3 3 4 4 ,25,128 128 128 128 128 128 128 ,896,7,332.0256958,,,-2.706691742,118.1256866,
16 16 8 32 16 ,88,3 4 3 4 3 ,17,64 64 64 64 64 ,320,5,86.31595612,,,-0.456849962,17.46888161,
16 32 16 32 ,96,6 3 4 4 ,17,64 64 64 64 ,256,4,113.5718689,,,-0.727443337,18.19244003,
32 8 8 8 8 8 ,72,3 4 6 6 3 3 ,25,196 196 196 196 196 196 ,1176,6,753.2281494,,,-0.972715735,97.33885956,
16 16 32 16 16 32 ,128,6 3 4 4 4 3 ,24,196 196 196 196 196 196 ,1176,6,963.074585,,,-0.549466014,123.8614578,
32 32 32 16 ,112,6 4 3 6 ,19,128 128 128 128 ,512,4,464.8195801,,,-0.690435767,60.96252823,
8 8 32 32 16 8 ,104,3 4 6 4 3 4 ,24,128 128 128 128 128 128 ,768,6,304.4273682,,,-0.438505232,58.04654312,
16 8 32 8 8 ,72,4 4 3 3 6 ,20,64 64 64 64 64 ,320,5,92.92306519,,,-1.438217163,20.6576252,
8 16 32 16 ,72,6 6 6 3 ,21,64 64 64 64 ,256,4,131.75,,,-0.81340301,21.55823135,
32 32 32 8 16 ,120,4 3 6 3 4 ,20,32 32 32 32 32 ,160,5,27.12508583,,,-0.005489714,5.951334476,
32 8 32 8 ,80,3 4 6 3 ,16,128 128 128 128 ,512,4,344.1691895,,,-0.228914738,53.82672119,
8 16 32 8 ,64,6 4 6 4 ,20,64 64 64 64 ,256,4,113.8885956,,,-0.739802957,20.1911335,
8 32 16 16 8 16 ,96,4 4 3 4 6 3 ,24,128 128 128 128 128 128 ,768,6,353.4208679,,,-0.446226299,58.27275848,
32 8 32 32 ,104,4 3 4 3 ,14,196 196 196 196 ,784,4,732.4177246,,,-1.624267459,95.22633362,
