mlp_ratio,sum_mlp_ratio,num_heads,sum_num_heads,embed_dim,sum_embed,layer_num,dss score,retrain accuracy100,resultfilename2,grasp score,snip score,training time
 8 32 32 16 32 16 16 ,152, 4 4 4 6 4 3 4 ,29, 128 128 128 128 128 128 128 ,896,7,271.4733582,92.7,config_11733979,-2.317045689,209.367691,15:18
 16 8 16 8 ,48, 6 3 4 4 ,17, 64 64 64 64 ,256,4,69.91294861,90.79,config_11733980,-0.23352845,21.53349304,10:34
 32 16 16 16 ,80, 6 4 6 6 ,22, 64 64 64 64 ,256,4,87.66381073,91.43,config_11733981,-0.073439792,28.21247101,10:00
 32 16 16 8 16 32 32 ,152, 3 3 4 4 4 3 4 ,25, 32 32 32 32 32 32 32 ,224,7,16.63142586,90.79,config_11733982,-1.333450794,31.53164482,13:59
 16 8 16 8 ,48, 6 4 3 3 ,16, 64 64 64 64 ,256,4,73.65910339,91.9,config_11733983,-0.238013029,21.73259163,11:15
 8 8 8 8 16 32 ,80, 3 3 3 6 6 3 ,24, 32 32 32 32 32 32 ,192,6,14.17057323,91.9,config_11733984,-0.112554386,9.360163689,14:47
 8 8 32 32 16 8 32 ,136, 3 3 3 4 4 4 3 ,24, 196 196 196 196 196 196 196 ,1372,7,467.1376038,92.06,config_11733985,-5.325917244,364.0076904,14:05
 16 8 32 16 8 ,80, 6 4 6 4 4 ,24, 196 196 196 196 196 ,980,5,790.2574463,92.22,config_11733986,-0.358496428,157.7641907,12:00
 32 32 8 16 8 ,96, 6 3 4 3 6 ,22, 64 64 64 64 64 ,320,5,83.8765564,93.49,config_11733987,0.051290482,27.27572632,14:02
 16 8 32 32 16 ,104, 3 4 6 6 3 ,22, 32 32 32 32 32 ,160,5,17.22527885,90,config_11733988,-0.092932761,11.22783852,11:22
 8 32 16 16 8 16 32 ,128, 4 3 4 4 4 3 6 ,28, 128 128 128 128 128 128 128 ,896,7,243.4294281,92.06,config_11733989,-3.250020027,228.8389435,14:20
 16 8 16 16 16 ,72, 3 4 6 3 6 ,22, 196 196 196 196 196 ,980,5,596.5525513,91.11,config_11733990,-0.414679408,164.4867401,15:26
 8 16 8 16 16 16 8 ,88, 3 4 4 4 6 4 6 ,31, 64 64 64 64 64 64 64 ,448,7,57.77175903,90.16,config_11733991,-1.287678957,72.61055756,12:02
 8 16 32 32 ,88, 6 3 3 3 ,15, 128 128 128 128 ,512,4,277.7626343,93.02,config_11733992,-0.492484629,88.36742401,13:00
 16 32 8 16 ,72, 4 6 3 4 ,17, 196 196 196 196 ,784,4,753.555603,93.17,config_11733993,-0.527071953,145.9076538,12:41
 8 16 8 16 32 ,80, 6 3 6 4 3 ,22, 196 196 196 196 196 ,980,5,719.2667236,92.06,config_11733994,-0.542291045,145.2597656,10:56
 32 32 32 16 32 ,144, 6 3 6 4 3 ,22, 64 64 64 64 64 ,320,5,88.18674469,92.22,config_11733995,-0.071798444,34.23861313,12:58
 32 16 32 32 8 8 8 ,136, 3 3 3 4 6 6 3 ,28, 32 32 32 32 32 32 32 ,224,7,16.68234825,89.84,config_11733996,-0.595561802,27.63539505,15:49
 32 32 16 32 16 16 32 ,176, 3 3 4 6 4 6 4 ,30, 196 196 196 196 196 196 196 ,1372,7,575.2886353,93.33,config_11733997,-2.310457706,399.6960449,12:48
 32 16 16 8 8 8 8 ,96, 3 4 4 6 6 3 4 ,30, 32 32 32 32 32 32 32 ,224,7,17.94045258,89.21,config_11733998,-1.029352665,31.27231979,14:19
 16 8 8 16 ,48, 6 6 4 6 ,22, 64 64 64 64 ,256,4,84.19111633,92.54,config_11733999,0.00739266,22.59945679,11:32
 32 8 32 32 ,104, 4 4 4 6 ,18, 32 32 32 32 ,128,4,19.18700027,90,config_11734000,0.000875767,11.77663136,12:29
 32 32 16 8 ,88, 3 4 6 4 ,17, 128 128 128 128 ,512,4,273.0917053,91.75,config_11734001,-0.307815522,76.61785126,12:24
 32 8 8 32 ,80, 3 6 6 4 ,19, 64 64 64 64 ,256,4,75.64811707,91.9,config_11734002,-0.136014819,29.42347908,10:13
 16 8 32 16 16 8 16 ,112, 4 6 6 4 3 6 4 ,33, 32 32 32 32 32 32 32 ,224,7,21.08232498,91.27,config_11734003,-1.312016249,32.26571274,15:35
 8 16 32 32 ,88, 6 4 3 6 ,19, 196 196 196 196 ,784,4,750.7446289,92.86,config_11734004,-0.965967655,151.9307556,13:42
 16 16 32 8 8 16 32 ,128, 6 3 3 3 3 6 4 ,28, 64 64 64 64 64 64 64 ,448,7,73.08428955,92.38,config_11734005,-2.537212133,97.4526825,11:43
 32 16 16 16 ,80, 3 4 4 4 ,15, 64 64 64 64 ,256,4,67.40827179,92.06,config_11734006,-0.027851619,28.71845245,12:07
 16 32 32 8 ,88, 3 4 3 6 ,16, 128 128 128 128 ,512,4,252.5140686,93.97,config_11734007,-0.663430452,80.84335327,10:53
 8 16 8 32 32 16 ,112, 3 4 6 3 6 3 ,25, 64 64 64 64 64 64 ,384,6,60.22832489,91.59,config_11734008,-0.224838108,34.34534836,13:43
 8 32 8 16 8 32 32 ,136, 3 3 6 6 3 4 3 ,28, 196 196 196 196 196 196 196 ,1372,7,535.8186646,93.97,config_11734009,-4.754767418,352.5337219,17:11
 8 16 32 16 32 8 ,112, 3 4 4 3 4 6 ,24, 32 32 32 32 32 32 ,192,6,16.12014771,90.79,config_11734010,-0.156855047,11.57939339,11:45
 32 16 16 32 ,96, 4 3 3 6 ,16, 32 32 32 32 ,128,4,17.86923981,89.37,config_11734011,0.005336121,10.72158527,12:25
 8 8 32 16 8 32 ,104, 6 4 4 3 4 6 ,27, 196 196 196 196 196 196 ,1176,6,714.4544067,93.49,config_11734012,-0.723035693,178.6158447,11:43
 8 32 16 16 ,72, 3 4 3 6 ,16, 196 196 196 196 ,784,4,558.1362305,92.86,config_11734013,-0.944561362,152.7289581,13:12
 8 8 8 32 16 8 ,80, 6 4 4 6 6 4 ,30, 32 32 32 32 32 32 ,192,6,19.83585358,89.84,config_11734014,-0.074128665,10.94770813,13:35
 32 32 8 16 32 ,120, 3 4 4 4 6 ,21, 64 64 64 64 64 ,320,5,72.62529755,94.44,config_11734015,-0.017654764,30.84551811,11:10
 16 32 16 16 32 8 ,120, 4 4 3 6 3 3 ,23, 196 196 196 196 196 196 ,1176,6,681.0525513,93.17,config_11734016,-1.00146997,183.6937714,14:42
 8 8 8 16 8 8 8 ,64, 4 3 4 6 4 3 6 ,30, 64 64 64 64 64 64 64 ,448,7,56.93210602,92.06,config_11734017,-1.372380853,70.70269775,14:44
 16 16 16 16 16 32 8 ,120, 3 6 6 4 3 3 3 ,28, 64 64 64 64 64 64 64 ,448,7,72.74485779,91.43,config_11734018,-0.343980551,64.5888443,12:07
 8 8 32 16 32 8 ,104, 3 3 6 4 6 3 ,25, 64 64 64 64 64 64 ,384,6,54.07499313,90.16,config_11734019,-0.258132845,31.30200958,15:32
 32 32 8 32 8 ,112, 6 4 6 6 3 ,25, 196 196 196 196 196 ,980,5,829.3409424,92.54,config_11734020,-0.444632709,150.1468658,13:29
 8 16 8 16 32 ,80, 4 3 4 6 6 ,23, 196 196 196 196 196 ,980,5,580.2857056,91.43,config_11734021,-0.59385246,146.2104645,11:45
 8 8 32 8 ,56, 3 3 6 3 ,15, 196 196 196 196 ,784,4,491.3120422,92.86,config_11734022,-0.947284579,128.3823242,12:36
 32 16 16 16 32 16 16 ,144, 6 3 3 6 3 6 3 ,30, 32 32 32 32 32 32 32 ,224,7,20.63594818,91.43,config_11734023,-1.019528508,27.62361336,13:45
 32 8 32 16 ,88, 3 4 6 6 ,19, 64 64 64 64 ,256,4,68.73979187,91.43,config_11734024,-0.132420897,30.7883873,12:02
 8 32 8 16 32 16 ,112, 4 4 6 6 6 4 ,30, 64 64 64 64 64 64 ,384,6,72.81095123,91.75,config_11734025,-0.191212267,32.48442459,14:30
 16 32 8 32 ,88, 4 4 4 4 ,16, 196 196 196 196 ,784,4,669.7252197,93.81,config_11734026,-0.74432075,145.355484,11:50
